"","X.1","X","respondent_id","gender","age","height","children_under_18","household_income","education","location","frequency","recline_frequency","recline_obligation","recline_rude","recline_eliminate","switch_seats_friends","switch_seats_family","wake_up_bathroom","wake_up_walk","baby","unruly_child","two_arm_rests","middle_arm_rest","shade","unsold_seat","talk_stranger","get_up","electronics","smoked","NAcount","nrecline_rude","nage","agen","ngender","nrecline_frequency","frequentfliers"
"567",567,567,3432601329,"Female","18-29","5'3""",FALSE,"$50,000 - $99,999","Bachelor degree","South Atlantic","Once a year or less","Once in a while",TRUE,"No",FALSE,"No","No","Very","Very","No","No","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,1,NA,1,0,1,0
"568",568,568,3432601169,NA,NA,NA,NA,NA,NA,NA,"Once a month or less",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,0
"569",569,569,3432597578,"Female","45-60","5'3""",FALSE,NA,"Graduate degree","New England","Once a year or less","Always",FALSE,"No",FALSE,"No","No","No","No","No","No","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","More than five times times",FALSE,FALSE,1,1,NA,3,0,4,0
"570",570,570,3432597242,"Female","18-29",NA,NA,"$0 - $24,999","Some college or Associate degree","South Atlantic","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,1,0,NA,0
"571",571,571,3432596789,"Male","30-44","5'5""",FALSE,NA,"High school degree","New England","A few times per week","Never",TRUE,"Somewhat",TRUE,"Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","The person in the middle seat gets both arm rests","The arm rests should be shared","The person in the window seat should have exclusive control","Very","Somewhat","Twice",TRUE,TRUE,1,2,NA,2,1,0,1
"572",572,572,3432596033,"Female","> 60","5'5""",TRUE,NA,"Graduate degree","East South Central","Once a year or less","Once in a while",TRUE,"Very",FALSE,"Somewhat","Somewhat","No","No","No","No","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,1,3,NA,4,0,1,0
"573",573,573,3432595469,"Female","18-29","5'11""",FALSE,"$50,000 - $99,999","Bachelor degree","West South Central","Once a month or less","Never",TRUE,"Somewhat",TRUE,"No","No","No","Somewhat","No","Somewhat","The arm rests should be shared","Whoever puts their arm on the arm rest first","Everyone in the row should have some say","No","No","Twice",TRUE,FALSE,0,2,NA,1,0,0,0
"574",574,574,3432595447,"Male","> 60","6'0""",FALSE,NA,"Graduate degree","West South Central","Once a year or less","Usually",FALSE,"No",FALSE,"Somewhat","Somewhat","Somewhat","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Once",FALSE,FALSE,1,1,NA,4,1,3,0
"575",575,575,3432594046,"Male","45-60","5'9""",FALSE,NA,"Bachelor degree","South Atlantic","Once a year or less","Usually",TRUE,"No",FALSE,"No","No","No","No","No","No","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Three times",FALSE,TRUE,1,1,NA,3,1,3,0
"576",576,576,3432593810,"Male","45-60","5'11""",FALSE,"$100,000 - $149,999","Some college or Associate degree","South Atlantic","A few times per month","Never",TRUE,"Very",TRUE,"No","No","No","No","Very","Very","The person in the middle seat gets both arm rests","The arm rests should be shared","The person in the window seat should have exclusive control","Somewhat","No","Twice",FALSE,FALSE,0,3,NA,3,1,0,1
"577",577,577,3432593776,"Female","18-29","5'8""",FALSE,"$25,000 - $49,999","High school degree","East North Central","Once a year or less","Usually",TRUE,"Somewhat",FALSE,"Somewhat","No","Somewhat","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",TRUE,FALSE,0,2,NA,1,0,3,0
"578",578,578,3432592943,"Male","45-60","5'5""",TRUE,"$50,000 - $99,999","Graduate degree","West North Central","Once a year or less","Once in a while",TRUE,"Somewhat",TRUE,"No","No","Somewhat","Very","No","Somewhat","The arm rests should be shared","The person by the window","Everyone in the row should have some say","Somewhat","No","Twice",FALSE,FALSE,0,2,NA,3,1,1,0
"579",579,579,3432591264,"Male","18-29","6'0""",FALSE,"$0 - $24,999","Bachelor degree","Pacific","Once a year or less","Always",FALSE,"No",FALSE,"No","No","No","Somewhat","No","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","More than five times times",FALSE,FALSE,0,1,NA,1,1,4,0
"580",580,580,3432591009,"Male","30-44","6'1""",TRUE,"$100,000 - $149,999","Bachelor degree","West North Central","Once a year or less","Usually",FALSE,"No",FALSE,"No","No","Somewhat","Somewhat","No","No","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,1,NA,2,1,3,0
"581",581,581,3432590797,"Female","18-29","5'1""",FALSE,"$25,000 - $49,999","High school degree","Middle Atlantic","Once a year or less","Never",TRUE,"Somewhat",FALSE,"No","No","No","Somewhat","No","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","Very","No","Four times",FALSE,FALSE,0,2,NA,1,0,0,0
"582",582,582,3432586012,"Female","30-44","5'4""",TRUE,NA,"Graduate degree","Middle Atlantic","Once a year or less","Usually",FALSE,"No",FALSE,"No","No","Somewhat","Somewhat","No","No","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,1,1,NA,2,0,3,0
"583",583,583,3432585436,"Female","18-29","5'5""",FALSE,"$50,000 - $99,999","Bachelor degree","Mountain","Once a year or less","Once in a while",TRUE,"No",FALSE,"No","No","Somewhat","Somewhat","No","No","Whoever puts their arm on the arm rest first","The person in aisle","Everyone in the row should have some say","No","Somewhat","Twice",FALSE,FALSE,0,1,NA,1,0,1,0
"584",584,584,3432583627,"Male","45-60","5'10""",TRUE,NA,"Bachelor degree","New England","Once a year or less","Once in a while",TRUE,"Somewhat",FALSE,"No","No","No","No","No","No","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",TRUE,FALSE,1,2,NA,3,1,1,0
"585",585,585,3432583317,"Male","30-44","5'11""",TRUE,"$50,000 - $99,999","Bachelor degree","Mountain","Once a month or less","Never",TRUE,"Somewhat",FALSE,"Somewhat","Somewhat","Somewhat","Very","No","Somewhat","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Twice",TRUE,FALSE,0,2,NA,2,1,0,0
"586",586,586,3432582665,"Male","45-60","6'2""",FALSE,NA,"Graduate degree","Middle Atlantic","Once a month or less","About half the time",FALSE,"Somewhat",TRUE,"Somewhat","Somewhat","No","No","No","No","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,1,2,NA,3,1,2,0
"587",587,587,3432578499,"Female","45-60","5'10""",FALSE,"$25,000 - $49,999","High school degree","West South Central","Once a year or less","Never",TRUE,"Somewhat",TRUE,"No","No","No","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,2,NA,3,0,0,0
"588",588,588,3432577325,"Female","45-60","5'10""",FALSE,"$100,000 - $149,999","Bachelor degree","West South Central","Once a month or less","Once in a while",TRUE,"Somewhat",TRUE,"No","No","No","No","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,2,NA,3,0,1,0
"589",589,589,3432576298,"Female","45-60","5'7""",FALSE,"$100,000 - $149,999","High school degree","East North Central","Once a month or less","Never",TRUE,"Somewhat",TRUE,"No","No","Somewhat","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,0,2,NA,3,0,0,0
"590",590,590,3432575865,"Male","18-29",NA,NA,"$0 - $24,999","High school degree","South Atlantic","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,1,1,NA,0
"591",591,591,3432573920,"Male","> 60","6'1""",FALSE,"$100,000 - $149,999","Bachelor degree","South Atlantic","Once a month or less","Never",TRUE,"Somewhat",TRUE,"No","No","No","Somewhat","Somewhat","Very","The person in the middle seat gets both arm rests","Other (please specify)","The person in the window seat should have exclusive control","Very","Somewhat","Twice",FALSE,FALSE,0,2,NA,4,1,0,0
"592",592,592,3432572774,"Male","45-60",NA,NA,"$100,000 - $149,999","Some college or Associate degree","South Atlantic","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,3,1,NA,0
"593",593,593,3432570755,"Female","30-44",NA,NA,"$50,000 - $99,999","High school degree","Middle Atlantic","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,2,0,NA,0
"594",594,594,3432570285,"Female","18-29","5'4""",FALSE,NA,"Some college or Associate degree","South Atlantic","Once a year or less","Usually",TRUE,"Somewhat",FALSE,"No","No","No","Very","No","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,1,2,NA,1,0,3,0
"595",595,595,3432570266,"Female","18-29","5'5""",FALSE,"$50,000 - $99,999","High school degree","South Atlantic","Once a year or less","Once in a while",TRUE,"No",FALSE,"No","No","Somewhat","Somewhat","No","Somewhat","Whoever puts their arm on the arm rest first","Whoever puts their arm on the arm rest first","The person in the window seat should have exclusive control","No","Very","Three times",FALSE,FALSE,0,1,NA,1,0,1,0
"596",596,596,3432569102,"Male","30-44","6'1""",TRUE,"$100,000 - $149,999","Bachelor degree","Middle Atlantic","Once a year or less","Always",FALSE,"Somewhat",FALSE,"No","No","No","Somewhat","Somewhat","Somewhat","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Twice",FALSE,FALSE,0,2,NA,2,1,4,0
"597",597,597,3432561205,"Male","18-29","5'9""",FALSE,"$25,000 - $49,999","Bachelor degree","East North Central","Once a month or less","Never",FALSE,"Somewhat",FALSE,"No","No","Somewhat","Very","Somewhat","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Three times",FALSE,FALSE,0,2,NA,1,1,0,0
"598",598,598,3432559580,"Female","18-29","5'6""",FALSE,NA,"Some college or Associate degree","East North Central","Once a month or less","Once in a while",TRUE,"Somewhat",TRUE,"No","No","Somewhat","Somewhat","Somewhat","Somewhat","Whoever puts their arm on the arm rest first","Whoever puts their arm on the arm rest first","The person in the window seat should have exclusive control","No","No","Four times",TRUE,FALSE,1,2,NA,1,0,1,0
"599",599,599,3432558337,"Male","18-29","5'8""",FALSE,NA,"Some college or Associate degree","Mountain","Once a month or less","Never",TRUE,"Somewhat",TRUE,"No","No","Somewhat","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","Somewhat","Three times",FALSE,FALSE,1,2,NA,1,1,0,0
"600",600,600,3432555887,"Male","45-60","5'4""",TRUE,"$25,000 - $49,999","Bachelor degree","East North Central","Once a year or less","Never",TRUE,"No",FALSE,"No","No","No","No","No","Somewhat","The arm rests should be shared","The person by the window","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,1,NA,3,1,0,0
"601",601,601,3432554556,"Female","45-60","5'4""",TRUE,"$25,000 - $49,999","Graduate degree","Middle Atlantic","Once a year or less","Always",FALSE,"No",FALSE,"No","No","Somewhat","Somewhat","No","No","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",TRUE,TRUE,0,1,NA,3,0,4,0
"602",602,602,3432552719,"Male","> 60","5'8""",FALSE,NA,"Some college or Associate degree","Pacific","Once a year or less","Never",TRUE,"No",TRUE,"Somewhat","Somewhat","No","Somewhat","No","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,1,1,NA,4,1,0,0
"603",603,603,3432551367,"Female","18-29","5'5""",FALSE,"$50,000 - $99,999","Some college or Associate degree","South Atlantic","Once a year or less","Never",TRUE,"Somewhat",FALSE,"Somewhat","Somewhat","Very","Very","No","No","Other (please specify)","The person in aisle","The person in the window seat should have exclusive control","No","Somewhat","Twice",FALSE,FALSE,0,2,NA,1,0,0,0
"604",604,604,3432550970,"Female","30-44","5'3""",TRUE,NA,"Graduate degree","Mountain","Once a year or less","Always",FALSE,"No",FALSE,"No","No","No","No","No","No","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",TRUE,FALSE,1,1,NA,2,0,4,0
"605",605,605,3432550291,"Male","30-44","5'9""",FALSE,"$50,000 - $99,999","Bachelor degree","East North Central","Once a month or less","Once in a while",TRUE,"Somewhat",FALSE,"Somewhat","Somewhat","No","Somewhat","Somewhat","Somewhat","Whoever puts their arm on the arm rest first","Whoever puts their arm on the arm rest first","The person in the window seat should have exclusive control","No","No","Four times",FALSE,FALSE,0,2,NA,2,1,1,0
"606",606,606,3432546954,"Female","30-44","5'2""",TRUE,NA,"Some college or Associate degree","Pacific","Once a year or less","Always",FALSE,"No",FALSE,"Somewhat","Somewhat","No","No","No","Somewhat","The person in the middle seat gets both arm rests","The person by the window","The person in the window seat should have exclusive control","Somewhat","Somewhat","More than five times times",FALSE,FALSE,1,1,NA,2,0,4,0
"607",607,607,3432543444,"Male","30-44",NA,NA,"$25,000 - $49,999","High school degree","Middle Atlantic","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,2,1,NA,0
"608",608,608,3432538384,"Female","18-29",NA,NA,"$0 - $24,999","High school degree","East North Central","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,1,0,NA,0
"609",609,609,3432537258,"Female","18-29","5'7""",FALSE,"$25,000 - $49,999","Some college or Associate degree","West North Central","Once a year or less","About half the time",FALSE,"No",FALSE,"Somewhat","Somewhat","No","Very","No","Somewhat","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Twice",TRUE,FALSE,0,1,NA,1,0,2,0
"610",610,610,3432533720,"Male","18-29","6'5""",FALSE,"$0 - $24,999","Some college or Associate degree","New England","Once a year or less","About half the time",TRUE,"No",FALSE,"No","No","No","Somewhat","Somewhat","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,1,NA,1,1,2,0
"611",611,611,3432529988,"Male","18-29","5'8""",FALSE,NA,"Bachelor degree","East North Central","Once a month or less","Never",TRUE,"Somewhat",FALSE,"Somewhat","No","No","Somewhat","No","Very","The person in the middle seat gets both arm rests","The person in aisle","Everyone in the row should have some say","No","No","Once",FALSE,FALSE,1,2,NA,1,1,0,0
"612",612,612,3432529869,"Male","> 60","6'2""",FALSE,"$100,000 - $149,999","Graduate degree","Pacific","Once a year or less","Usually",TRUE,"No",FALSE,"No","No","No","Somewhat","No","Somewhat","Other (please specify)","Other (please specify)","The person in the window seat should have exclusive control","No","No","Three times",FALSE,FALSE,0,1,NA,4,1,3,0
"613",613,613,3432528671,"Female","> 60","5'5""",FALSE,NA,"Graduate degree","South Atlantic","Once a month or less","About half the time",TRUE,"No",FALSE,"No","No","Somewhat","Somewhat","No","No","Other (please specify)","Whoever puts their arm on the arm rest first","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,1,1,NA,4,0,2,0
"614",614,614,3432527936,"Male","45-60","6'2""",FALSE,"$50,000 - $99,999","Bachelor degree","East North Central","Once a year or less","Always",FALSE,"No",FALSE,"No","No","No","No","Very","Very","The person in the middle seat gets both arm rests","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Twice",FALSE,FALSE,0,1,NA,3,1,4,0
"615",615,615,3432527384,"Female","18-29","5'5""",FALSE,"$50,000 - $99,999","Bachelor degree","Pacific","Once a year or less","Once in a while",TRUE,"Somewhat",TRUE,"No","No","Somewhat","Very","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,0,2,NA,1,0,1,0
"616",616,616,3432526670,NA,NA,NA,NA,NA,NA,NA,"Once a year or less",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,0
"617",617,617,3432526433,"Female","18-29","5'0""",FALSE,"$25,000 - $49,999","Some college or Associate degree","South Atlantic","Once a month or less","Usually",TRUE,"No",FALSE,"No","No","No","No","Somewhat","Somewhat","The arm rests should be shared","The person in aisle","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,1,NA,1,0,3,0
"618",618,618,3432525300,"Female","30-44","5'1""",FALSE,"$25,000 - $49,999","Some college or Associate degree","Mountain","Once a year or less","Never",FALSE,"Somewhat",TRUE,"Very","Somewhat","No","No","No","Very","The person in the middle seat gets both arm rests","The person in aisle","Everyone in the row should have some say","Somewhat","Somewhat","It is not okay to get up during flight",FALSE,FALSE,0,2,NA,2,0,0,0
"619",619,619,3432521348,"Male","18-29","5'11""",FALSE,"$100,000 - $149,999","Bachelor degree","East North Central","Once a year or less","Always",FALSE,"No",FALSE,"No","No","No","Somewhat","No","Somewhat","The person in the middle seat gets both arm rests","The person in aisle","Everyone in the row should have some say","Somewhat","No","Three times",TRUE,FALSE,0,1,NA,1,1,4,0
"620",620,620,3432520405,"Female","45-60","5'2""",FALSE,"$25,000 - $49,999","Some college or Associate degree","South Atlantic","Once a year or less","Always",FALSE,"No",FALSE,"No","No","No","No","No","No","Whoever puts their arm on the arm rest first","Whoever puts their arm on the arm rest first","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,1,NA,3,0,4,0
"621",621,621,3432520365,"Female","18-29","5'8""",FALSE,NA,"Graduate degree","Middle Atlantic","Once a month or less","Once in a while",TRUE,"Somewhat",TRUE,"No","No","No","No","No","No","The person in the middle seat gets both arm rests","The arm rests should be shared","Everyone in the row should have some say","No","Somewhat","Three times",FALSE,FALSE,1,2,NA,1,0,1,0
"622",622,622,3432519959,"Male","> 60",NA,NA,"$50,000 - $99,999","Bachelor degree","East North Central","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,4,1,NA,0
"623",623,623,3432516676,"Male","45-60","6'0""",FALSE,"$100,000 - $149,999","Some college or Associate degree","West South Central","Once a month or less","Once in a while",TRUE,"Somewhat",TRUE,"No","No","No","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","Very","No","Four times",FALSE,FALSE,0,2,NA,3,1,1,0
"624",624,624,3432513839,"Female","18-29","5'2""",FALSE,"$0 - $24,999","Bachelor degree","West North Central","Once a year or less","Once in a while",TRUE,"No",FALSE,"No","No","Somewhat","Very","No","Very","The person in the middle seat gets both arm rests","The person in aisle","Everyone in the row should have some say","No","Somewhat","Twice",FALSE,FALSE,0,1,NA,1,0,1,0
"625",625,625,3432511675,"Female","30-44","5'7""",FALSE,"$50,000 - $99,999","Some college or Associate degree","West South Central","Once a year or less","Always",TRUE,"No",FALSE,"No","No","Somewhat","Somewhat","No","No","The person in the middle seat gets both arm rests","The person in aisle","The person in the window seat should have exclusive control","No","No","Three times",FALSE,FALSE,0,1,NA,2,0,4,0
"626",626,626,3432510812,"Female","30-44","5'10""",FALSE,"$50,000 - $99,999","Graduate degree","South Atlantic","Once a month or less","About half the time",TRUE,"No",FALSE,"No","No","No","No","No","No","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","More than five times times",FALSE,FALSE,0,1,NA,2,0,2,0
"627",627,627,3432510382,"Male","45-60","5'9""",TRUE,NA,"Bachelor degree","East North Central","A few times per month","Once in a while",TRUE,"Somewhat",TRUE,"No","No","No","Very","No","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","Somewhat","Somewhat","Twice",FALSE,FALSE,1,2,NA,3,1,1,1
"628",628,628,3432506985,"Female","30-44","5'4""",TRUE,"$50,000 - $99,999","Some college or Associate degree","East South Central","Once a year or less","Never",TRUE,"No",FALSE,"Somewhat","No","No","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","Somewhat","No","Three times",FALSE,FALSE,0,1,NA,2,0,0,0
"629",629,629,3432506619,"Female","30-44","5'8""",FALSE,NA,"Bachelor degree","Pacific","Once a year or less","Never",FALSE,"No",FALSE,"No","No","No","No","No","No","The people in the aisle and window seats get both arm rests","The person by the window","The person in the window seat should have exclusive control","No","No","Twice",TRUE,TRUE,1,1,NA,2,0,0,0
"630",630,630,3432503557,"Male","30-44","5'7""",FALSE,"$50,000 - $99,999","Bachelor degree","Middle Atlantic","Once a year or less","Once in a while",FALSE,"Somewhat",TRUE,"Somewhat","Somewhat","Somewhat","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","Somewhat","Somewhat","Twice",FALSE,FALSE,0,2,NA,2,1,1,0
"631",631,631,3432499380,"Male","45-60","6'0""",FALSE,"$100,000 - $149,999","Some college or Associate degree","South Atlantic","A few times per month","Never",TRUE,"Very",TRUE,"No","No","No","No","Very","Very","Other (please specify)","The arm rests should be shared","The person in the window seat should have exclusive control","Somewhat","No","Twice",FALSE,FALSE,0,3,NA,3,1,0,1
"632",632,632,3432496456,"Female","> 60","5'4""",FALSE,"$50,000 - $99,999","Graduate degree","East North Central","Once a year or less","Usually",TRUE,"No",FALSE,"No","No","No","Somewhat","No","Very","The person in the middle seat gets both arm rests","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,1,NA,4,0,3,0
"633",633,633,3432491632,"Female","45-60",NA,NA,NA,"High school degree","West North Central","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,3,0,NA,0
"634",634,634,3432491057,"Male","45-60","5'9""",TRUE,NA,"Bachelor degree","Pacific","Once a month or less","Usually",FALSE,"No",FALSE,"No","No","No","Somewhat","No","Very","The person in the middle seat gets both arm rests","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Three times",FALSE,FALSE,1,1,NA,3,1,3,0
"635",635,635,3432490443,"Female","45-60","5'4""",FALSE,"$50,000 - $99,999","Graduate degree","West South Central","Once a year or less","About half the time",TRUE,"No",FALSE,"No","No","No","No","No","No","The arm rests should be shared","The person by the window","The person in the window seat should have exclusive control","No","No","Four times",FALSE,FALSE,0,1,NA,3,0,2,0
"636",636,636,3432490362,"Female","30-44","5'1""",FALSE,"$50,000 - $99,999","Graduate degree","South Atlantic","Once a month or less","Once in a while",FALSE,"Somewhat",TRUE,"No","No","No","No","No","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","Somewhat","Twice",TRUE,FALSE,0,2,NA,2,0,1,0
"637",637,637,3432489108,"Male","18-29","5'8""",FALSE,NA,"Some college or Associate degree","Mountain","Once a year or less","Never",TRUE,"Somewhat",FALSE,"No","No","Somewhat","Very","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,1,2,NA,1,1,0,0
"638",638,638,3432487771,"Female","30-44","5'4""",FALSE,"$25,000 - $49,999","Graduate degree","Pacific","Once a year or less","Once in a while",TRUE,"Somewhat",TRUE,"Somewhat","Somewhat","No","Somewhat","Somewhat","Very","Whoever puts their arm on the arm rest first","Whoever puts their arm on the arm rest first","The person in the window seat should have exclusive control","No","Somewhat","Twice",FALSE,FALSE,0,2,NA,2,0,1,0
"639",639,639,3432486033,"Female","30-44","5'2""",FALSE,"$50,000 - $99,999","Bachelor degree","South Atlantic","Once a year or less","Never",TRUE,"Somewhat",TRUE,"No","No","No","Somewhat","Somewhat","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","More than five times times",FALSE,FALSE,0,2,NA,2,0,0,0
"640",640,640,3432485197,"Male","> 60","5'6""",FALSE,"$100,000 - $149,999","Some college or Associate degree","New England","Once a month or less","About half the time",TRUE,"Somewhat",TRUE,"No","No","Somewhat","Somewhat","No","Very","The person in the middle seat gets both arm rests","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",TRUE,FALSE,0,2,NA,4,1,2,0
"641",641,641,3432482977,"Male","45-60",NA,NA,"$50,000 - $99,999","Bachelor degree","Mountain","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,3,1,NA,0
"642",642,642,3432482309,"Female","18-29","5'1""",FALSE,"$50,000 - $99,999","Bachelor degree","South Atlantic","Once a year or less","About half the time",TRUE,"No",FALSE,"No","No","No","No","No","No","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,0,1,NA,1,0,2,0
"643",643,643,3432482201,"Female","18-29",NA,NA,"$0 - $24,999","High school degree","New England","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,1,0,NA,0
"644",644,644,3432477188,"Female","> 60","5'4""",FALSE,"$50,000 - $99,999","Some college or Associate degree","South Atlantic","Once a year or less","About half the time",TRUE,"Somewhat",FALSE,"No","No","Somewhat","Very","No","Very","The arm rests should be shared","The person in aisle","Everyone in the row should have some say","No","Somewhat","Three times",FALSE,FALSE,0,2,NA,4,0,2,0
"645",645,645,3432476896,"Female","> 60","5'3""",FALSE,NA,"High school degree","South Atlantic","Once a year or less","Always",FALSE,"No",FALSE,"No","No","No","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Four times",FALSE,FALSE,1,1,NA,4,0,4,0
"646",646,646,3432476791,"Male","45-60","5'9""",TRUE,NA,"Bachelor degree","New England","Once a month or less","About half the time",FALSE,"No",FALSE,"Somewhat","Somewhat","No","Somewhat","No","Very","The person in the middle seat gets both arm rests","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,1,1,NA,3,1,2,0
"647",647,647,3432476135,"Male","18-29",NA,NA,NA,"Bachelor degree","East North Central","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,1,1,NA,0
"648",648,648,3432475199,"Male","30-44","5'7""",TRUE,"$25,000 - $49,999","High school degree","West North Central","Once a year or less","Once in a while",TRUE,"No",FALSE,"Somewhat","No","Somewhat","Somewhat","No","Somewhat","The arm rests should be shared","Whoever puts their arm on the arm rest first","Everyone in the row should have some say","Somewhat","No","Twice",FALSE,FALSE,0,1,NA,2,1,1,0
"649",649,649,3432473889,"Female","> 60","5'6""",FALSE,"$100,000 - $149,999","Graduate degree","Pacific","Once a year or less","Never",TRUE,"Very",TRUE,"No","No","No","Somewhat","Very","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Twice",FALSE,FALSE,0,3,NA,4,0,0,0
"650",650,650,3432471719,"Male","45-60","6'0""",FALSE,NA,"Bachelor degree","West South Central","Once a month or less","Always",FALSE,"No",FALSE,"No","No","No","No","No","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","More than five times times",TRUE,FALSE,1,1,NA,3,1,4,0
"651",651,651,3432470238,"Female","18-29",NA,NA,NA,"Bachelor degree","West North Central","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,1,0,NA,0
