X.1,X,respondent_id,gender,age,height,children_under_18,household_income,education,location,frequency,recline_frequency,recline_obligation,recline_rude,recline_eliminate,switch_seats_friends,switch_seats_family,wake_up_bathroom,wake_up_walk,baby,unruly_child,two_arm_rests,middle_arm_rest,shade,unsold_seat,talk_stranger,get_up,electronics,smoked,edu,NAcount,nrecline_rude,ngender
464,464,3432784159,Male,30-44,"5'10""",FALSE,"$25,000 - $49,999",Bachelor degree,Pacific,Once a year or less,About half the time,FALSE,No,FALSE,No,No,Somewhat,Very,No,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,TRUE,FALSE,1,0,1,2
465,465,3432782903,Female,45-60,"5'4""",FALSE,"$100,000 - $149,999",Graduate degree,East North Central,Once a year or less,Never,TRUE,No,FALSE,No,No,Somewhat,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,1,0,1,1
466,466,3432780542,Male,45-60,"6'0""",FALSE,"$50,000 - $99,999",Bachelor degree,West South Central,Once a month or less,Once in a while,TRUE,Somewhat,TRUE,No,No,No,No,No,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,FALSE,FALSE,1,0,2,2
467,467,3432779202,Male,> 60,"5'9""",FALSE,"$50,000 - $99,999",High school degree,Middle Atlantic,Once a year or less,Usually,TRUE,No,FALSE,No,No,No,No,No,Very,The arm rests should be shared,The person in aisle,Everyone in the row should have some say,Somewhat,No,Three times,FALSE,FALSE,0,0,1,2
468,468,3432773257,Male,45-60,"5'11""",FALSE,"$100,000 - $149,999",Some college or Associate degree,Pacific,Once a year or less,About half the time,TRUE,No,FALSE,No,No,No,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Once,FALSE,FALSE,1,0,1,2
469,469,3432768051,Female,> 60,"5'5""",FALSE,NA,Graduate degree,Pacific,Once a month or less,Usually,FALSE,No,FALSE,No,No,Somewhat,Somewhat,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,Somewhat,No,Three times,FALSE,FALSE,1,1,1,1
470,470,3432766511,Male,> 60,"5'10""",FALSE,"$100,000 - $149,999",Graduate degree,Pacific,Once a month or less,Never,FALSE,No,TRUE,Very,Very,No,Somewhat,Very,Very,The arm rests should be shared,The person by the window,Everyone in the row should have some say,Somewhat,No,Three times,FALSE,FALSE,1,0,1,2
471,471,3432764140,Female,30-44,"5'6""",TRUE,"$100,000 - $149,999",Bachelor degree,West South Central,Once a year or less,Usually,FALSE,Somewhat,FALSE,Somewhat,Somewhat,Somewhat,Somewhat,No,Somewhat,Whoever puts their arm on the arm rest first,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,FALSE,FALSE,1,0,2,1
472,472,3432760923,Female,45-60,"5'10""",FALSE,NA,Bachelor degree,Middle Atlantic,Once a year or less,Usually,FALSE,Somewhat,TRUE,No,No,No,No,No,Very,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,No,No,Three times,FALSE,FALSE,1,1,2,1
473,473,3432757907,Female,45-60,"5'6""",FALSE,"$25,000 - $49,999",Bachelor degree,Pacific,Once a year or less,Always,FALSE,No,FALSE,No,No,Somewhat,No,No,Somewhat,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,FALSE,FALSE,1,0,1,1
474,474,3432757277,Female,45-60,"5'7""",FALSE,"$50,000 - $99,999",Bachelor degree,South Atlantic,Once a month or less,Usually,FALSE,No,FALSE,No,No,No,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE,1,0,1,1
475,475,3432756587,Female,45-60,"5'5""",TRUE,"$50,000 - $99,999",Bachelor degree,South Atlantic,Once a month or less,Always,TRUE,No,FALSE,No,No,No,No,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,Somewhat,No,Twice,FALSE,FALSE,1,0,1,1
476,476,3432756556,Male,> 60,NA,NA,"$0 - $24,999",High school degree,New England,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,NA,2
477,477,3432748659,Male,> 60,"5'8""",TRUE,NA,NA,Pacific,Once a month or less,About half the time,FALSE,No,FALSE,No,No,No,No,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,Very,No,It is not okay to get up during flight,FALSE,FALSE,NA,3,1,2
478,478,3432747385,Male,18-29,"6'3""",FALSE,NA,Bachelor degree,West South Central,Once a year or less,Never,TRUE,Very,TRUE,Somewhat,Somewhat,No,Very,Very,Very,Other (please specify),The person in aisle,The person in the window seat should have exclusive control,Somewhat,No,Once,FALSE,FALSE,1,1,3,2
479,479,3432743308,Male,> 60,NA,NA,"$25,000 - $49,999",Graduate degree,South Atlantic,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,2
480,480,3432743281,Female,45-60,"5'2""",TRUE,"$100,000 - $149,999",Graduate degree,East North Central,Once a year or less,Usually,TRUE,No,FALSE,No,No,Somewhat,Very,Very,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,Somewhat,No,More than five times times,FALSE,FALSE,1,0,1,1
481,481,3432742047,Female,30-44,NA,NA,"$50,000 - $99,999",Bachelor degree,New England,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,1
482,482,3432732425,Male,30-44,"5'8""",FALSE,NA,Graduate degree,Middle Atlantic,Once a year or less,Never,TRUE,Somewhat,TRUE,No,No,No,Somewhat,Very,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,Somewhat,Somewhat,Three times,FALSE,FALSE,1,1,2,2
483,483,3432730924,Male,> 60,"6'1""",FALSE,NA,Graduate degree,Pacific,Once a month or less,Always,FALSE,No,FALSE,No,No,Somewhat,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,1,1,1,2
484,484,3432729673,Male,18-29,"5'11""",FALSE,"$25,000 - $49,999",Some college or Associate degree,East North Central,Once a year or less,Always,FALSE,No,FALSE,No,No,No,Somewhat,No,Very,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,No,Three times,TRUE,FALSE,1,0,1,2
485,485,3432729279,Male,45-60,"5'11""",FALSE,"$25,000 - $49,999",Some college or Associate degree,South Atlantic,Once a year or less,Never,TRUE,Somewhat,TRUE,No,No,No,Somewhat,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,FALSE,FALSE,1,0,2,2
486,486,3432725309,Female,30-44,"5'0""",FALSE,"$50,000 - $99,999",Graduate degree,East North Central,Once a year or less,About half the time,TRUE,Somewhat,TRUE,No,No,No,Somewhat,No,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,Somewhat,No,More than five times times,FALSE,FALSE,1,0,2,1
487,487,3432725057,Male,30-44,"5'8""",FALSE,"$50,000 - $99,999",NA,East North Central,Once a year or less,Once in a while,FALSE,No,FALSE,Somewhat,Somewhat,No,Somewhat,Very,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,FALSE,FALSE,NA,2,1,2
488,488,3432723006,Male,30-44,"5'11""",FALSE,"$100,000 - $149,999",Some college or Associate degree,Pacific,Once a year or less,Usually,FALSE,No,TRUE,Somewhat,No,No,Somewhat,No,Very,The arm rests should be shared,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,Somewhat,No,Three times,FALSE,FALSE,1,0,1,2
489,489,3432719444,Male,> 60,"5'10""",FALSE,"$50,000 - $99,999",Graduate degree,Pacific,Once a year or less,Always,FALSE,No,TRUE,No,No,No,No,Very,Very,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,No,No,Three times,FALSE,FALSE,1,0,1,2
490,490,3432717557,Male,18-29,"5'7""",FALSE,"$0 - $24,999",Some college or Associate degree,Pacific,Once a year or less,Always,TRUE,No,FALSE,No,No,Somewhat,Very,No,Somewhat,The person in the middle seat gets both arm rests,The arm rests should be shared,Everyone in the row should have some say,No,No,Four times,FALSE,FALSE,1,0,1,2
491,491,3432716154,NA,NA,"5'10""",FALSE,NA,NA,NA,Once a year or less,Always,NA,NA,NA,NA,NA,NA,NA,NA,NA,Whoever puts their arm on the arm rest first,The person by the window,The person in the window seat should have exclusive control,NA,NA,NA,NA,NA,NA,20,NA,NA
492,492,3432715149,Female,45-60,"5'3""",FALSE,"$50,000 - $99,999",Bachelor degree,New England,Once a year or less,Usually,TRUE,No,FALSE,No,No,Somewhat,Very,No,Somewhat,Whoever puts their arm on the arm rest first,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE,1,0,1,1
493,493,3432712883,Male,> 60,"6'1""",FALSE,NA,Bachelor degree,Pacific,A few times per month,About half the time,FALSE,No,FALSE,No,No,No,No,No,Somewhat,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,TRUE,FALSE,1,1,1,2
494,494,3432712733,Female,30-44,"5'4""",TRUE,NA,Bachelor degree,Mountain,Once a year or less,Once in a while,FALSE,No,FALSE,No,No,No,No,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,More than five times times,FALSE,FALSE,1,1,1,1
495,495,3432712670,Male,18-29,"5'5""",FALSE,"$50,000 - $99,999",Bachelor degree,East North Central,Once a month or less,Usually,TRUE,No,FALSE,Somewhat,No,Somewhat,Very,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,TRUE,FALSE,1,0,1,2
496,496,3432710807,Female,45-60,"5'7""",FALSE,"$25,000 - $49,999",Graduate degree,West South Central,Once a year or less,Always,FALSE,No,FALSE,No,No,No,Somewhat,Very,Very,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,No,Somewhat,Twice,FALSE,FALSE,1,0,1,1
497,497,3432708518,Female,30-44,"5'8""",TRUE,"$50,000 - $99,999",Graduate degree,West North Central,Once a month or less,Never,TRUE,Very,TRUE,No,No,No,No,No,No,The people in the aisle and window seats get both arm rests,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,FALSE,FALSE,1,0,3,1
498,498,3432704896,Female,45-60,"5'2""",FALSE,"$50,000 - $99,999",Some college or Associate degree,West South Central,Once a year or less,Usually,FALSE,No,FALSE,No,No,Somewhat,Somewhat,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,Twice,FALSE,FALSE,1,0,1,1
499,499,3432703862,Male,45-60,"5'11""",FALSE,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,Once a month or less,Always,FALSE,No,FALSE,No,No,No,No,No,Very,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,No,No,More than five times times,TRUE,FALSE,1,0,1,2
500,500,3432702734,Female,18-29,NA,NA,"$25,000 - $49,999",Bachelor degree,Pacific,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,1
501,501,3432702376,Female,18-29,NA,NA,"$50,000 - $99,999",Bachelor degree,West South Central,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,1
502,502,3432701612,Female,18-29,"5'9""",FALSE,"$50,000 - $99,999",Bachelor degree,West North Central,Once a year or less,Never,TRUE,Somewhat,TRUE,Somewhat,Somewhat,Somewhat,Somewhat,No,Somewhat,The arm rests should be shared,The person in aisle,Everyone in the row should have some say,No,Somewhat,Twice,FALSE,FALSE,1,0,2,1
503,503,3432698661,Female,18-29,"5'8""",FALSE,"$25,000 - $49,999",Bachelor degree,South Atlantic,Once a year or less,About half the time,TRUE,Somewhat,FALSE,Very,Somewhat,Very,Very,Very,Very,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,Very,Very,Twice,TRUE,FALSE,1,0,2,1
504,504,3432696460,Male,18-29,NA,NA,"$25,000 - $49,999",Some college or Associate degree,Pacific,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,2
505,505,3432694545,Female,30-44,"5'6""",FALSE,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,Once a year or less,Always,TRUE,Somewhat,TRUE,Very,Very,Somewhat,Somewhat,No,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,FALSE,FALSE,1,0,2,1
506,506,3432693762,Female,30-44,"5'9""",TRUE,"$50,000 - $99,999",Bachelor degree,South Atlantic,Once a year or less,Usually,TRUE,No,FALSE,No,No,No,Somewhat,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Four times,FALSE,FALSE,1,0,1,1
507,507,3432692283,Female,18-29,"5'5""",FALSE,NA,High school degree,East North Central,Once a year or less,Once in a while,TRUE,No,FALSE,No,No,No,Somewhat,No,Somewhat,Other (please specify),Other (please specify),The person in the window seat should have exclusive control,Somewhat,No,Three times,FALSE,FALSE,0,1,1,1
508,508,3432690556,Female,45-60,"5'2""",FALSE,"$100,000 - $149,999",Graduate degree,West South Central,Once a year or less,Once in a while,FALSE,No,FALSE,Somewhat,No,Somewhat,Very,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Once,FALSE,FALSE,1,0,1,1
509,509,3432688045,Female,18-29,"5'5""",FALSE,"$50,000 - $99,999",Graduate degree,Pacific,Once a year or less,Always,FALSE,No,FALSE,Somewhat,No,No,No,Somewhat,Very,Whoever puts their arm on the arm rest first,The person by the window,The person in the window seat should have exclusive control,No,No,Four times,TRUE,FALSE,1,0,1,1
510,510,3432686853,Female,45-60,"6'0""",FALSE,"$50,000 - $99,999",Bachelor degree,NA,Once a year or less,Always,TRUE,No,FALSE,No,No,Somewhat,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,Twice,FALSE,FALSE,1,1,1,1
511,511,3432686527,Female,30-44,NA,NA,"$25,000 - $49,999",High school degree,East North Central,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,NA,1
512,512,3432682685,Female,18-29,"5'6""",FALSE,"$50,000 - $99,999",Bachelor degree,New England,Once a month or less,About half the time,TRUE,Somewhat,FALSE,Somewhat,Somewhat,Somewhat,Very,Somewhat,Very,The arm rests should be shared,The person in aisle,The person in the window seat should have exclusive control,No,No,Four times,FALSE,FALSE,1,0,2,1
513,513,3432681188,Male,> 60,"6'0""",FALSE,"$100,000 - $149,999",Graduate degree,Pacific,Once a year or less,Once in a while,TRUE,No,FALSE,No,No,Somewhat,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,Twice,FALSE,FALSE,1,0,1,2
514,514,3432680969,Female,18-29,"5'7""",FALSE,"$25,000 - $49,999",Bachelor degree,West North Central,Once a month or less,Usually,FALSE,No,FALSE,Somewhat,No,No,No,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,1,0,1,1
515,515,3432679810,Female,> 60,NA,NA,"$25,000 - $49,999",Some college or Associate degree,South Atlantic,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,1
516,516,3432676303,Female,18-29,"5'4""",FALSE,"$50,000 - $99,999",Bachelor degree,Mountain,Once a month or less,Never,TRUE,Very,TRUE,No,No,No,Somewhat,No,Somewhat,The person in the middle seat gets both arm rests,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,Somewhat,No,Twice,FALSE,FALSE,1,0,3,1
517,517,3432674865,Male,45-60,"6'2""",TRUE,"$25,000 - $49,999",Some college or Associate degree,South Atlantic,Once a year or less,Once in a while,TRUE,Somewhat,TRUE,Somewhat,No,No,Very,No,Somewhat,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,FALSE,FALSE,1,0,2,2
518,518,3432674597,Female,45-60,"5'4""",FALSE,NA,High school degree,South Atlantic,Once a year or less,Once in a while,TRUE,Somewhat,FALSE,No,No,Somewhat,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,More than five times times,FALSE,FALSE,0,1,2,1
519,519,3432673760,Female,30-44,Under 5 ft.,FALSE,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,Once a year or less,Once in a while,FALSE,No,FALSE,No,No,No,No,No,No,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,No,No,Three times,FALSE,FALSE,1,0,1,1
520,520,3432671925,Female,30-44,"5'2""",FALSE,"$50,000 - $99,999",Graduate degree,East North Central,Once a year or less,Never,TRUE,No,FALSE,No,No,No,No,No,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,TRUE,FALSE,1,0,1,1
521,521,3432671796,Female,45-60,"5'6""",FALSE,"$100,000 - $149,999",Bachelor degree,New England,Once a year or less,Always,FALSE,No,FALSE,No,No,Somewhat,Somewhat,No,Somewhat,Other (please specify),The person in aisle,The person in the window seat should have exclusive control,No,No,More than five times times,FALSE,FALSE,1,0,1,1
522,522,3432669331,Male,45-60,NA,NA,"$100,000 - $149,999",Bachelor degree,East North Central,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,2
523,523,3432663659,Male,18-29,"6'1""",FALSE,"$25,000 - $49,999",Graduate degree,West North Central,Once a year or less,Always,FALSE,No,FALSE,No,No,No,Somewhat,No,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE,1,0,1,2
524,524,3432662408,Female,30-44,"5'1""",FALSE,NA,Graduate degree,Middle Atlantic,Once a year or less,Never,TRUE,Somewhat,TRUE,Very,Very,No,Somewhat,No,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,1,1,2,1
525,525,3432659558,Female,45-60,Under 5 ft.,TRUE,"$50,000 - $99,999",Graduate degree,Mountain,Once a year or less,Never,TRUE,Somewhat,TRUE,No,No,Somewhat,Very,No,Somewhat,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE,1,0,2,1
526,526,3432657800,Female,45-60,"5'7""",FALSE,NA,Graduate degree,South Atlantic,Once a year or less,Always,FALSE,No,FALSE,No,No,No,Somewhat,Somewhat,Very,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,No,Four times,FALSE,FALSE,1,1,1,1
527,527,3432657579,Female,45-60,NA,NA,"$25,000 - $49,999",Bachelor degree,Pacific,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,1
528,528,3432657414,Female,18-29,"5'7""",TRUE,NA,Some college or Associate degree,East South Central,Once a year or less,Always,TRUE,No,FALSE,No,No,Somewhat,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE,1,1,1,1
529,529,3432656062,Male,18-29,"6'2""",FALSE,NA,Bachelor degree,New England,Once a year or less,About half the time,FALSE,Somewhat,TRUE,Somewhat,Somewhat,Somewhat,Very,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,Somewhat,No,Once,FALSE,FALSE,1,1,2,2
530,530,3432654840,Female,45-60,"5'3""",FALSE,"$50,000 - $99,999",Bachelor degree,West South Central,Once a year or less,Usually,TRUE,No,FALSE,No,No,No,No,No,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,More than five times times,FALSE,FALSE,1,0,1,1
531,531,3432654546,Male,45-60,"5'10""",FALSE,"$50,000 - $99,999",Graduate degree,Pacific,Once a year or less,Usually,FALSE,No,FALSE,No,No,No,No,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE,1,0,1,2
532,532,3432653582,Female,> 60,"5'4""",NA,"$100,000 - $149,999",Graduate degree,Middle Atlantic,Once a year or less,Always,TRUE,Somewhat,FALSE,No,Somewhat,Very,No,No,Somewhat,The arm rests should be shared,The person by the window,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,1,1,2,1
533,533,3432653171,Female,18-29,"5'2""",FALSE,"$50,000 - $99,999",Some college or Associate degree,East North Central,Once a year or less,Never,TRUE,Very,TRUE,No,No,Somewhat,Very,Somewhat,Very,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,1,0,3,1
534,534,3432651320,Female,18-29,"5'6""",FALSE,"$50,000 - $99,999",High school degree,West North Central,Once a year or less,Once in a while,TRUE,Somewhat,FALSE,No,No,No,No,Somewhat,Very,Whoever puts their arm on the arm rest first,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,FALSE,FALSE,0,0,2,1
535,535,3432647057,Female,45-60,"5'7""",TRUE,"$100,000 - $149,999",Bachelor degree,New England,Once a year or less,Always,FALSE,No,FALSE,Somewhat,No,No,Somewhat,No,Somewhat,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,No,No,Twice,FALSE,FALSE,1,0,1,1
536,536,3432646135,Male,18-29,"5'6""",FALSE,NA,Some college or Associate degree,South Atlantic,Once a year or less,Never,TRUE,Somewhat,FALSE,No,No,Somewhat,Somewhat,No,Somewhat,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,Somewhat,No,More than five times times,FALSE,FALSE,1,1,2,2
537,537,3432645979,Female,18-29,"5'4""",FALSE,"$25,000 - $49,999",Some college or Associate degree,South Atlantic,Once a year or less,Once in a while,TRUE,No,FALSE,No,No,Somewhat,Somewhat,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,TRUE,FALSE,1,0,1,1
538,538,3432644073,Male,45-60,NA,NA,"$50,000 - $99,999",Graduate degree,East South Central,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,2
539,539,3432642283,Male,45-60,"5'10""",FALSE,NA,Graduate degree,South Atlantic,Once a year or less,Never,TRUE,Somewhat,TRUE,No,No,No,Very,No,Very,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,No,More than five times times,FALSE,FALSE,1,1,2,2
540,540,3432641073,Female,45-60,"5'2""",FALSE,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,Once a month or less,Once in a while,TRUE,Somewhat,FALSE,No,No,No,No,No,No,The person in the middle seat gets both arm rests,The person in aisle,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,1,0,2,1
541,541,3432640585,Female,18-29,"5'8""",FALSE,"$50,000 - $99,999",Bachelor degree,Pacific,Once a month or less,Once in a while,FALSE,No,FALSE,No,No,Somewhat,Very,No,Somewhat,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,Somewhat,Twice,FALSE,FALSE,1,0,1,1
542,542,3432638246,Male,45-60,"5'7""",FALSE,"$100,000 - $149,999",Graduate degree,Mountain,Once a month or less,Once in a while,TRUE,Somewhat,FALSE,Somewhat,No,Somewhat,Somewhat,No,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,FALSE,FALSE,1,0,2,2
543,543,3432637495,Male,> 60,"5'11""",FALSE,NA,Graduate degree,South Atlantic,Once a year or less,Never,TRUE,No,TRUE,No,No,Somewhat,Very,No,Very,The person in the middle seat gets both arm rests,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,1,1,1,2
544,544,3432636848,Male,> 60,"5'10""",FALSE,"$0 - $24,999",Graduate degree,New England,Once a month or less,Once in a while,FALSE,No,TRUE,No,No,No,No,No,Somewhat,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,FALSE,FALSE,1,0,1,2
545,545,3432636547,Female,> 60,"5'0""",TRUE,NA,Some college or Associate degree,South Atlantic,Once a year or less,Once in a while,TRUE,Somewhat,FALSE,Very,Very,Somewhat,Very,No,Somewhat,Whoever puts their arm on the arm rest first,The arm rests should be shared,The person in the window seat should have exclusive control,Very,No,More than five times times,FALSE,FALSE,1,1,2,1
546,546,3432635515,Male,> 60,"5'10""",FALSE,NA,Graduate degree,Pacific,Once a month or less,Always,FALSE,No,FALSE,No,No,No,No,Somewhat,Very,The person in the middle seat gets both arm rests,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,1,1,1,2
547,547,3432634383,Male,18-29,"5'10""",FALSE,"$50,000 - $99,999",Bachelor degree,Pacific,Once a month or less,Once in a while,TRUE,No,TRUE,No,No,No,Very,No,Somewhat,The person in the middle seat gets both arm rests,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,Somewhat,No,Twice,FALSE,FALSE,1,0,1,2
548,548,3432632431,Female,30-44,"5'3""",FALSE,"$100,000 - $149,999",Bachelor degree,Pacific,Once a year or less,Once in a while,TRUE,No,TRUE,No,No,No,Somewhat,No,No,The person in the middle seat gets both arm rests,The person in aisle,The person in the window seat should have exclusive control,No,No,Once,FALSE,FALSE,1,0,1,1
549,549,3432630149,Female,45-60,"5'1""",FALSE,"$50,000 - $99,999",Graduate degree,West North Central,Once a year or less,Once in a while,FALSE,No,FALSE,No,No,No,No,No,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,FALSE,FALSE,1,0,1,1
550,550,3432628864,Male,30-44,"5'6""",TRUE,"$50,000 - $99,999",Graduate degree,West South Central,Once a month or less,Usually,TRUE,No,FALSE,No,No,Somewhat,Somewhat,Somewhat,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,TRUE,FALSE,1,0,1,2
551,551,3432628841,Male,30-44,"5'8""",TRUE,"$100,000 - $149,999",Graduate degree,West North Central,Once a year or less,Never,FALSE,No,FALSE,No,No,No,Somewhat,No,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,Somewhat,More than five times times,FALSE,FALSE,1,0,1,2
552,552,3432627503,Female,> 60,"5'1""",FALSE,"$0 - $24,999",Bachelor degree,East North Central,Once a year or less,Usually,TRUE,Somewhat,FALSE,No,No,No,Very,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,Very,No,It is not okay to get up during flight,FALSE,FALSE,1,0,2,1
553,553,3432625031,Female,18-29,"5'0""",FALSE,NA,Some college or Associate degree,Pacific,Once a month or less,Never,TRUE,Somewhat,FALSE,No,No,Somewhat,Somewhat,No,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,FALSE,FALSE,1,1,2,1
